,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
10,Russell Brand pleads not guilty to rape and assault,The broadcaster appears at a plea hearing after being accused of five charges relating to four women.,Russell Brand plädiert nicht schuldig zu Vergewaltigung und Körperverletzung,"Der Sender erscheint in einer mündlichen Verhandlung, nachdem er fünf Anklagepunkte in Bezug auf vier Frauen beschuldigt worden war.",Russell Brand se declara inocente de violación y agresión,El locutor comparece en una audiencia después de haber sido acusado de cinco cargos relacionados con cuatro mujeres.,Russell Brand plaide non coupable de viol et d'agression,Le radiodiffuseur comparaît à une audience de plaidoyer après avoir été accusé de cinq accusations concernant quatre femmes.,Russell Brand对强奸和攻击罪不认罪,"广播员在被控对四名妇女提出五项指控后,在一次认罪听证会上出庭。"
11,British woman accused of drug offences tells BBC of Sri Lanka jail conditions,"Charlotte May Lee, 21, was arrested earlier this month after authorities allegedly found 46kg of cannabis in her suitcases.",Britin beschuldigt von Drogendelikten erzählt BBC von Sri Lanka Haftbedingungen,"Charlotte May Lee, 21, wurde Anfang dieses Monats verhaftet, nachdem die Behörden angeblich 46 kg Cannabis in ihren Koffern gefunden hatten.",Mujeres británicas acusadas de delitos relacionados con drogas informan a la BBC de las condiciones de la cárcel de Sri Lanka,"Charlotte May Lee, de 21 años, fue arrestada a principios de este mes después de que las autoridades supuestamente encontraran 46 kg de cannabis en sus maletas.",Une femme britannique accusée d'infractions liées à la drogue raconte à la BBC les conditions de détention au Sri Lanka,"Charlotte May Lee, 21 ans, a été arrêtée au début du mois après que les autorités auraient trouvé 46 kg de cannabis dans ses valises.",被控毒品犯罪的英国妇女告诉BBC斯里兰卡监狱条件,"21岁的夏洛特·梅·李,21岁的夏洛特·梅·李,据称当局在本月早些时候在她的手提箱中发现了46公斤大麻之后被捕。"
12,Jeremy Clarkson's new co-star: 'I wear make-up but it doesn't mean I can't be a farmer',Harriet Cowan says she wants to represent young female farmers and champion mental health.,"Jeremy Clarksons neuer Co-Star: ""Ich trage Make-up, aber das bedeutet nicht, dass ich kein Farmer sein kann.""","Harriet Cowan sagt, sie wolle junge Bauerninnen vertreten und für die psychische Gesundheit eintreten.",El nuevo co-estrella de Jeremy Clarkson: 'Yo uso maquillaje pero eso no significa que no pueda ser un granjero',Harriet Cowan dice que quiere representar a las jóvenes agricultoras y defender la salud mental.,"La nouvelle co-star de Jeremy Clarkson : ""Je me maquille mais ça ne veut pas dire que je ne peux pas être fermier""",Harriet Cowan dit qu'elle veut représenter les jeunes agricultrices et défendre la santé mentale.,"Jeremy Clarkson的新伴星: ""我化妆了,但这并不意味着我不能当农民""","Harriet Cowan说,她想代表年轻女性农民和心理健康冠军。"
13,Jacqueline Wilson says she wouldn't return to Tracy Beaker as an adult,The popular author tells the Hay Festival she would be wary of writing about Beaker in later life.,"Jacqueline Wilson sagt, sie würde nicht als Erwachsener nach Tracy Beaker zurückkehren.","Die beliebte Autorin erzählt dem Hay Festival, dass sie sich davor hüten würde, später über Beaker zu schreiben.",Jacqueline Wilson dice que no volvería con Tracy Beaker como adulta.,La autora popular le dice al Festival de Hay que ella sería cautelosa de escribir sobre Beaker en la vida posterior.,Jacqueline Wilson dit qu'elle ne retournerait pas à Tracy Beaker en tant qu'adulte,L'auteure populaire raconte au Hay Festival qu'elle se méfierait d'écrire sur Beaker dans la vie ultérieure.,Jacqueline Wilson说她成人时不会回到Tracy Beaker,"受欢迎的作者告诉Hay节,她晚年会小心写关于Beaker的文章。"
14,Embarrassing defeat and bizarre parade - inside Man Utd's troubled post-season Asia tour,The BBC's Simon Stone covered Man United's post-season tour of Kuala Lumpur and Hong Kong and the trip did not go to plan.,Beschämende Niederlage und bizarre Parade - in Man Utds unruhiger Asien-Tour nach der Saison,Die BBC's Simon Stone deckte Man Uniteds Nachsaison-Tour durch Kuala Lumpur und Hong Kong ab und die Reise ging nicht nach Plan.,Una derrota vergonzosa y un desfile bizarro - dentro de la turbulenta gira de Man Utd por Asia después de la temporada,"Simon Stone, de la BBC, cubrió la gira de post-temporada de Man United por Kuala Lumpur y Hong Kong y el viaje no fue a la planificación.",La défaite embrasante et la parade bizarre - à l'intérieur de la tournée d'après-saison troublée de Man Utd en Asie,Simon Stone de la BBC a couvert la tournée post-saison de Man United de Kuala Lumpur et Hong Kong et le voyage n'a pas été prévu.,"在曼乌特(Man Utd)的烦恼的季后亚洲之旅中,","英国广播公司的Simon Stone报导了Man United在吉隆坡和香港的季后巡回演出,"
15,How the West is helping Russia to fund its war on Ukraine,Data shows that Russian fossil fuel revenues are three times higher than aid allocated to Ukraine.,"Wie der Westen Russland hilft, seinen Krieg gegen die Ukraine zu finanzieren","Die Daten zeigen, dass die Einnahmen aus russischen fossilen Brennstoffen dreimal so hoch sind wie die der Ukraine zugewiesenen Beihilfen.",Cómo Occidente está ayudando a Rusia a financiar su guerra contra Ucrania,Los datos muestran que los ingresos rusos por concepto de combustibles fósiles son tres veces superiores a la ayuda asignada a Ucrania.,Comment l'Occident aide la Russie à financer sa guerre contre l'Ukraine,Les données montrent que les revenus russes des combustibles fossiles sont trois fois plus élevés que l'aide accordée à l'Ukraine.,西方如何帮助俄罗斯资助对乌克兰的战争,"数据显示,俄罗斯化石燃料收入是分配给乌克兰的援助的三倍。"
16,"Illness, homelessness and a 630-mile trek: The woman who inspired Hollywood film",Raynor Winn's journey inspired a Hollywood film featuring Gillian Anderson and Jason Isaacs.,"Krankheit, Obdachlosigkeit und ein 630-Meilen-Trek: Die Frau, die Hollywood-Film inspirierte",Raynor Winns Reise inspirierte einen Hollywood-Film mit Gillian Anderson und Jason Isaacs.,"La enfermedad, la falta de vivienda y una caminata de 630 millas: La mujer que inspiró la película de Hollywood",El viaje de Raynor Winn inspiró una película de Hollywood con Gillian Anderson y Jason Isaacs.,"Maladie, sans-abri et un trek de 630 miles: La femme qui a inspiré le film Hollywood",Le voyage de Raynor Winn a inspiré un film hollywoodien mettant en vedette Gillian Anderson et Jason Isaacs.,疾病、无家可归和630英里长的长途跋涉:激励好莱坞电影的女人,"Raynor Winn的旅程启发了一部好莱坞电影,电影的主角是Gillian Anderson和Jason Isacs。"
17,University dropout to rising star: Why folk singer Jacob Alon is one to watch,The singer's music has been called delicate and otherworldly. Get to know them before everyone else.,Universitätsabbruch zum aufsteigenden Stern: Warum Volkssänger Jacob Alon zusehen muss,Die Musik des Sängers wurde delikat und andersweltlich genannt. Lernen Sie sie vor allen anderen kennen.,El abandono de la universidad a la estrella en ascenso: ¿Por qué el cantante folk Jacob Alon es uno para ver,La música de la cantante se ha llamado delicada y de otro mundo. Llegar a conocerlos antes que todos los demás.,L'abandon de l'université à la star montante: Pourquoi le chanteur folk Jacob Alon est un à regarder,La musique de la chanteuse a été qualifiée de délicate et d'autre monde. Apprenez à les connaître avant tout le monde.,大学辍学成为新星:为什么民间歌手Jacob Alon是观众之一?,歌手的音乐被称作微妙的 和其他世界的音乐 在其他人之前了解他们
18,Weekly quiz: How did this ship end up in a Norwegian garden?,How much attention did you pay to what's being going on in the world this week?,Wöchentliches Quiz: Wie landete dieses Schiff in einem norwegischen Garten?,"Wie viel Aufmerksamkeit haben Sie dem gewidmet, was diese Woche auf der Welt vor sich geht?",Examen semanal: ¿Cómo terminó este barco en un jardín noruego?,¿Cuánta atención prestaste a lo que está pasando en el mundo esta semana?,Quizz hebdomadaire : Comment ce vaisseau s'est-il retrouvé dans un jardin norvégien ?,Combien d'attentions avez-vous faites à ce qui se passe dans le monde cette semaine ?,每周测验:这艘船怎么会在挪威花园里?,你对这周世界发生的事 给予了多少关注?
19,Football and other premium TV being pirated at 'industrial scale',New research singles out the Amazon Fire Stick as the most popular means of accessing illegal streams.,"Fußball und andere Premium-TV im ""industriellen Maßstab""",Neue Forschungen nennen den Amazon Fire Stick als das beliebteste Mittel des Zugriffs auf illegale Streams.,Fútbol y otra televisión premium siendo pirateada a 'escala industrial',Nueva investigación señala el Palo de Fuego de Amazon como el medio más popular de acceso a corrientes ilegales.,Football et autres télévisions haut de gamme piratées à l'échelle industrielle,De nouvelles recherches identifient l'Amazon Fire Stick comme le moyen le plus populaire d'accéder aux cours d'eau illégaux.,足球和其他高档电视在“工业规模”上被盗用,新的研究指出亚马逊火棍是获取非法溪流的最受欢迎的手段。
20,Khelif required to take sex test for World Boxing fights,World Boxing says Olympic champion Imane Khelif will not be allowed to fight in the female category at their competitions until she undergoes a mandatory sex test.,"Khelif benötigt, um Sex-Test für World Boxing Kämpfe nehmen","World Boxing sagt, dass Olympiasiegerin Imane Khelif nicht in der weiblichen Kategorie bei ihren Wettkämpfen kämpfen darf, bis sie sich einem obligatorischen Sextest unterzogen hat.",Khelif requiere hacer una prueba de sexo para las peleas de boxeo del mundo,World Boxing dice que el campeón olímpico Imane Khelif no podrá luchar en la categoría femenina en sus competiciones hasta que se someta a una prueba de sexo obligatoria.,Khelif requis pour passer un test de sexe pour les combats de boxe dans le monde,World Boxing dit que la championne olympique Imane Khelif ne sera pas autorisée à se battre dans la catégorie féminine à leurs compétitions jusqu'à ce qu'elle subisse un test sexuel obligatoire.,哈利夫必须参加世界拳击比赛的性测试,"世界拳击组织说,奥运冠军Imane Khelif在参加比赛前,不得参加女性类比赛,直到她接受强制性的性测试。"
21,Prison officer has emergency surgery after stabbing,"The 25-year-old man was attacked by an inmate on Friday, officials say.","Der Gefängnisbeamte hat eine Notfalloperation, nachdem er erstochen hat.","Der 25-jährige Mann wurde am Freitag von einem Häftling angegriffen, sagen Beamte.",El funcionario de prisiones se somete a cirugía de emergencia después de apuñalar,"El hombre de 25 años fue atacado por un recluso el viernes, dicen los funcionarios.",L'agent pénitentiaire est opéré d'urgence après avoir poignardé.,"L'homme de 25 ans a été attaqué par un détenu vendredi, disent les officiels.",狱警在刺伤后接受紧急手术,"官员说,25岁的男子在星期五遭到一名囚犯的袭击。"
22,Attorney general regrets 'clumsy' reference to Nazi Germany,"Tory leader Kemi Badenoch accuses Lord Hermer of ""calling people who disagree with him Nazis"".","Generalstaatsanwalt bedauert ""verleumderische"" Bezugnahme auf Nazi-Deutschland","Der Tory-Führer Kemi Badenoch wirft Lord Hermer vor, ""Menschen zu rufen, die mit ihm nicht einverstanden sind Nazis"".","El Fiscal General lamenta la referencia a la Alemania nazi a la ""torpeza""","El líder conservador Kemi Badenoch acusa a Lord Hermer de ""llamar a la gente que no está de acuerdo con él nazis"".",Le procureur général regrette la référence à l'Allemagne nazie,Le chef tory Kemi Badenoch accuse Lord Hermer d'appeler des gens qui ne sont pas d'accord avec lui.,司法部长对提及纳粹德国的“笨笨”表示遗憾,托里领袖Kemi Badenoch指控Hermer勋爵「呼唤反对纳粹的人」。
23,Search for girl missing in River Thames suspended,"A boy was recovered from the water and taken to hospital, but the girl has not been found.",Suche nach Mädchen vermisst in River Thames suspendiert,"Ein Junge wurde aus dem Wasser geborgen und ins Krankenhaus gebracht, aber das Mädchen wurde nicht gefunden.",Búsqueda de chica desaparecida en Río Támesis suspendido,"Un niño fue recuperado del agua y llevado al hospital, pero la niña no ha sido encontrada.",Recherche de fille disparue à River Thames suspendue,"Un garçon a été récupéré de l'eau et emmené à l'hôpital, mais la fille n'a pas été trouvée.",搜索在泰晤士河悬浮的失踪女孩,"一名男孩从水中被救回,并被送往医院,但女孩尚未被发现。"
24,Wynne Evans to leave BBC after Strictly controversy,Evans was previously taking time off his radio show after controversy around a remark he made.,Wynne Evans verlässt BBC nach streng kontroverser Auseinandersetzung,"Evans nahm sich zuvor nach einer Kontroverse um eine Bemerkung, die er machte, Zeit für seine Radiosendung.",Wynne Evans dejará la BBC después de una controversia estricta,Evans estaba antes tomando tiempo fuera de su programa de radio después de la controversia en torno a un comentario que hizo.,Wynne Evans quittera la BBC après une vive controverse,Evans prenait auparavant congé de son émission de radio après une controverse autour d'une remarque qu'il avait faite.,Wynne Evans在激烈争议后离开英国广播公司,"埃文斯之前在电台节目上 正在抽出时间 之前,他对一篇演讲有争议"
25,Ex-player sues Hibs over injuries from tackle by manager,Lawyers for ex-Hibs and Aston Villa midfielder Jake Doyle-Hayes say he suffered 'horrific' injuries in the tackle with his own manager.,Ex-Spieler verklagt Hibs über Verletzungen aus der Tackle von Manager,"Anwälte für Ex-Hibs und Aston Villa Mittelfeldspieler Jake Doyle-Hayes sagen, dass er mit seinem eigenen Manager ""horrific"" Verletzungen im Tackle erlitten hat.",Ex-jugador demanda Hibs por lesiones de tackle por gerente,Los abogados de ex-Hibs y el mediocampista de Aston Villa Jake Doyle-Hayes dicen que sufrió heridas 'horrific' en el tackle con su propio manager.,L'ex-joueur poursuit Hibs sur les blessures de l'attaque par le manager,Les avocats de l'ex-Hibs et du milieu de terrain d'Aston Villa Jake Doyle-Hayes disent qu'il a subi des blessures « horribles » dans l'attaque avec son propre manager.,"前玩家起诉Hibs,","前Hibs和Aston Villa中场律师Jake Doyle-Hayes说,他和自己的经理在钩子上受了“可怕的”伤。"
26,BBC News app,"Top stories, breaking news, live reporting, and follow news topics that match your interests",BBC News App,"Top-Geschichten, Nachrichten, Live-Berichte und folgen Sie News-Themen, die Ihren Interessen entsprechen",Aplicación BBC News,"Principales historias, noticias de última hora, reportajes en vivo, y seguir temas de noticias que coincidan con sus intereses",L'application BBC News,"Les meilleures histoires, les dernières nouvelles, les reportages en direct, et suivre des sujets d'actualité qui correspondent à vos intérêts",BBC 新闻应用程序,顶尖故事、突发新闻、现场直播、关注符合你们兴趣的新闻专题
27,"The Week: Starmer v Farage, Trump Tariffs and Political Stunts","Adam, Alex, James and Vicki discuss the political stories of the week.","Tagungswoche: Starmer gegen Farage, Trump-Tarife und politische Stunts","Adam, Alex, James und Vicki diskutieren über die politischen Geschichten der Woche.","Ecos de la Sesión: Starmer v Farage, Tarifas de Trump y Atractivos Políticos","Adam, Alex, James y Vicki discuten las historias políticas de la semana.","La semaine : Starmer v Farage, Trump Tarifs et Stunts politiques","Adam, Alex, James et Vicki discutent des histoires politiques de la semaine.",周:星际与Farage、Trump关税与政治趋势,"Adam, Alex, James and Vicki 讨论本周的政治故事。"
28,Have Trump's tariff dreams been shattered?,Trump's tariff plan was temporarily reinstated while a court considers a White House appeal.,Sind Trumps Tarifträume zerstört worden?,"Trumps Tarifplan wurde vorübergehend wieder aufgenommen, während ein Gericht eine Berufung des Weißen Hauses in Betracht zieht.",¿Se han roto los sueños arancelarios de Trump?,El plan de tarifas de Trump fue reinstalado temporalmente mientras un tribunal considera una apelación de la Casa Blanca.,Les rêves tarifaires de Trump ont-ils été brisés ?,Le plan tarifaire de Trump a été temporairement rétabli alors qu'un tribunal examine un appel de la Maison-Blanche.,特朗普的关税梦想被打破了吗?,特朗普的关税计划在法院审理白宫上诉时被暂时恢复。
29,Investigating the fatal Titan submarine disaster,"After an implosion on a Titanic dive, investigators search for the truth.",Untersuchung der tödlichen Titan-U-Boot-Katastrophe,Nach einer Implosion auf einem Titanic Tauchgang suchen die Ermittler nach der Wahrheit.,Investigando el fatal desastre submarino de Titán,"Después de una implosión en una inmersión en Titanic, los investigadores buscan la verdad.",Enquêter sur la catastrophe mortelle du sous-marin Titan,"Après une implosion sur une plongée Titanique, les enquêteurs cherchent la vérité.",调查致命的巨巨人潜艇灾难,在泰坦尼克号潜水发生内爆后 调查人员寻找真相
